Date,Account ID,Invoice/CM #,Line Description,Debit Amnt,Credit Amnt,Name,Sales Rep Name,Qty,Item ID,Item Description,Sku Type,Principla
04/11/2023,1200,COL23-04C-0107,Cost of sales,,1190.22,CARMEN CDO MART CORP.,DAN BORJA JR. (CDO),1,678,VFRESH AQUA COOL 50PCSX40,CASE,CIFPI
04/11/2023,4000,COL23-04C-0107,V FRESH SPEARMINT 50PCSX40,,1483.92,CARMEN CDO MART CORP.,DAN BORJA JR. (CDO),1,1018,V FRESH SPEARMINT 50PCSX40,CASE,CIFPI
04/11/2023,5000,COL23-04C-0107,Cost of sales,1152.76,,CARMEN CDO MART CORP.,DAN BORJA JR. (CDO),1,1018,V FRESH SPEARMINT 50PCSX40,CASE,CIFPI
04/11/2023,1200,COL23-04C-0107,Cost of sales,,1152.76,CARMEN CDO MART CORP.,DAN BORJA JR. (CDO),1,1018,V FRESH SPEARMINT 50PCSX40,CASE,CIFPI
04/11/2023,4000,COL23-04C-0107,ICOOL MENTHOLATED GUM 50PCSX40,,2967.84,CARMEN CDO MART CORP.,DAN BORJA JR. (CDO),2,975,ICOOL MENTHOL GUM 50PCSX40,CASE,CIFPI
04/11/2023,5000,COL23-04C-0107,Cost of sales,2333.76,,CARMEN CDO MART CORP.,DAN BORJA JR. (CDO),2,975,ICOOL MENTHOL GUM 50PCSX40,CASE,CIFPI
04/11/2023,1200,COL23-04C-0107,Cost of sales,,2333.76,CARMEN CDO MART CORP.,DAN BORJA JR. (CDO),2,975,ICOOL MENTHOL GUM 50PCSX40,CASE,CIFPI
04/11/2023,4000,COL23-04C-0107,ICOOL CHERRYMINT GUM 50PCSX40,,1483.92,CARMEN CDO MART CORP.,DAN BORJA JR. (CDO),1,1017,ICOOL CHERRY MINT GUM 50PCSX40,CASE,CIFPI
04/11/2023,5000,COL23-04C-0107,Cost of sales,1141.24,,CARMEN CDO MART CORP.,DAN BORJA JR. (CDO),1,1017,ICOOL CHERRY MINT GUM 50PCSX40,CASE,CIFPI
04/11/2023,1200,COL23-04C-0107,Cost of sales,,1141.24,CARMEN CDO MART CORP.,DAN BORJA JR. (CDO),1,1017,ICOOL CHERRY MINT GUM 50PCSX40,CASE,CIFPI
04/11/2023,4000,COL23-04C-0107,YAKEE! SUPER ASIM GUMBALL 25PCSX40,,5281.2,CARMEN CDO MART CORP.,DAN BORJA JR. (CDO),5,876,YAKEE! SUPER ASIM 25PCSX40,CASE,CIFPI
04/11/2023,5000,COL23-04C-0107,Cost of sales,5014.75,,CARMEN CDO MART CORP.,DAN BORJA JR. (CDO),5,876,YAKEE! SUPER ASIM 25PCSX40,CASE,CIFPI
04/11/2023,1200,COL23-04C-0107,Cost of sales,,5014.75,CARMEN CDO MART CORP.,DAN BORJA JR. (CDO),5,876,YAKEE! SUPER ASIM 25PCSX40,CASE,CIFPI
04/11/2023,4000,COL23-04C-0107,GUMBALL 50PCSX40,,2112.48,CARMEN CDO MART CORP.,DAN BORJA JR. (CDO),2,816,GUMBALL 50PCSX40,CASE,CIFPI
04/11/2023,5000,COL23-04C-0107,Cost of sales,1909.44,,CARMEN CDO MART CORP.,DAN BORJA JR. (CDO),2,816,GUMBALL 50PCSX40,CASE,CIFPI
