Date,Account ID,Invoice/CM #,Line Description,Debit Amnt,Credit Amnt,Name,Sales Rep Name,Qty,Item ID,Item Description,Sku_type,Principal
3/28/23,5000,COL23-03C-0470,Cost of sales,"3,333.45",,ORORAMA SUPERCENTER (CARMEN),DAN BORJA JR. (CDO),3,965,MONAMI STRW&CREAM 50PCSX40,Case,CIFPI
3/28/23,1200,COL23-03C-0470,Cost of sales,,"3,333.45",ORORAMA SUPERCENTER (CARMEN),DAN BORJA JR. (CDO),3,965,MONAMI STRW&CREAM 50PCSX40,Case,CIFPI
3/28/23,4000,COL23-03C-0470,FRUTOS DOUBLICIOUS 50PCSX40,,"4,276.80",ORORAMA SUPERCENTER (CARMEN),DAN BORJA JR. (CDO),3,878,FRUTOS DOUBLICIOUS 50PCSX40,Case,CIFPI
3/28/23,4000,COL23-03C-0470,POTCHI STRAWBERRY 50PCSX40,,"4,451.76",ORORAMA SUPERCENTER (CARMEN),DAN BORJA JR. (CDO),3,890,POTCHI STRAWBERRY 50PCSX40,Case,CIFPI
3/28/23,5000,COL23-03C-0470,Cost of sales,"3,458.28",,ORORAMA SUPERCENTER (CARMEN),DAN BORJA JR. (CDO),3,890,POTCHI STRAWBERRY 50PCSX40,Case,CIFPI
3/28/23,1200,COL23-03C-0470,Cost of sales,,"3,458.28",ORORAMA SUPERCENTER (CARMEN),DAN BORJA JR. (CDO),3,890,POTCHI STRAWBERRY 50PCSX40,Case,CIFPI
3/28/23,4000,COL23-03C-0470,POTCHI GUMMY BEAR 50PCSX40,,"7,419.60",ORORAMA SUPERCENTER (CARMEN),DAN BORJA JR. (CDO),5,891,POTCHI GUMMY BEAR 50PCSX40,Case,CIFPI
3/28/23,5000,COL23-03C-0470,Cost of sales,"4,580.00",,ORORAMA SUPERCENTER (CARMEN),DAN BORJA JR. (CDO),5,891,POTCHI GUMMY BEAR 50PCSX40,Case,CIFPI
3/28/23,1200,COL23-03C-0470,Cost of sales,,"4,580.00",ORORAMA SUPERCENTER (CARMEN),DAN BORJA JR. (CDO),5,891,POTCHI GUMMY BEAR 50PCSX40,Case,CIFPI
3/28/23,4000,COL23-03C-0470,FRUTOS TROPICAL FRUIT 50PCSX40,,"4,276.80",ORORAMA SUPERCENTER (CARMEN),DAN BORJA JR. (CDO),3,907,FRUTOS TROPICAL FRUIT 50PCSX40,Case,CIFPI
3/28/23,4000,COL23-03C-0470,FRUTOS SAMPALOK 50PCSX40,,"4,276.80",ORORAMA SUPERCENTER (CARMEN),DAN BORJA JR. (CDO),3,1081,FRUTOS SAMPALOK 50PCSX40,Case,CIFPI
3/28/23,5000,COL23-03C-0470,Cost of sales,"3,333.45",,ORORAMA SUPERCENTER (CARMEN),DAN BORJA JR. (CDO),3,1081,FRUTOS SAMPALOK 50PCSX40,Case,CIFPI
3/28/23,1200,COL23-03C-0470,Cost of sales,,"3,333.45",ORORAMA SUPERCENTER (CARMEN),DAN BORJA JR. (CDO),3,1081,FRUTOS SAMPALOK 50PCSX40,Case,CIFPI
3/28/23,4000,COL23-03C-0470,COLUMBIA DISCOUNT,342.69,,ORORAMA SUPERCENTER (CARMEN),DAN BORJA JR. (CDO),"34,269.48",DSC1,DISCOUNT,Case,CIFPI
3/28/23,4000,COL23-03C-0470,COLUMBIA DISCOUNT,339.27,,ORORAMA SUPERCENTER (CARMEN),DAN BORJA JR. (CDO),"33,926.79",DSC1,DISCOUNT,Case,CIFPI
3/28/23,4000,COL23-03C-0470,COLUMBIA DISCOUNT,335.88,,ORORAMA SUPERCENTER (CARMEN),DAN BORJA JR. (CDO),"33,587.52",DSC1,DISCOUNT,Case,CIFPI
3/28/23,1100,COL23-03C-0470,ORORAMA SUPERCENTER (CARMEN),"33,251.64",,ORORAMA SUPERCENTER (CARMEN),DAN BORJA JR. (CDO),,,,Case,CIFPI
3/28/23,4000,COL23-03C-0471,OTSO CHOCOLATE 10PCSX20,,"3,207.60",ORORAMA SUPERCENTER (COGON),DAN BORJA JR. (CDO),3,601,OTSO CHOCOLATE 10PCSX20,Case,CIFPI
3/28/23,5000,COL23-03C-0471,Cost of sales,"2,737.89",,ORORAMA SUPERCENTER (COGON),DAN BORJA JR. (CDO),3,601,OTSO CHOCOLATE 10PCSX20,Case,CIFPI
3/28/23,1200,COL23-03C-0471,Cost of sales,,"2,737.89",ORORAMA SUPERCENTER (COGON),DAN BORJA JR. (CDO),3,601,OTSO CHOCOLATE 10PCSX20,Case,CIFPI
